Date,Close,High,Low,Open,Volume
03-01-2022,178.6456451,179.4995739,174.4251401,174.5429172,104487900
04-01-2022,176.3783112,179.5584264,175.8090304,179.254159,99310400
05-01-2022,171.6867218,176.8396791,171.4118986,176.2900328,94537600
06-01-2022,168.8206787,172.0596831,168.4673325,169.5077366,96904000
07-01-2022,168.9875488,170.9211359,167.8686216,169.6942413,86709100
10-01-2022,169.0071869,169.3114544,165.0614897,165.9546725,106765600
11-01-2022,171.84375,171.9418926,167.662499,169.1347724,76138300
12-01-2022,172.2854156,173.9049102,171.588548,172.8645062,74805200
13-01-2022,169.0071869,173.3552942,168.6145716,172.5308246,84505800
14-01-2022,169.8709259,170.5677936,167.9275141,168.172893,80440800
18-01-2022,166.6613464,169.3506895,166.278556,168.3397297,90956700
19-01-2022,163.1573486,167.9177057,162.8727157,166.857667,94815000
20-01-2022,161.4691315,166.5435655,161.1452295,163.8934763,91420500
21-01-2022,159.4079437,163.2554829,159.2999764,161.3807846,122848900
24-01-2022,158.6325378,159.2999762,151.8404521,157.062122,162294600
25-01-2022,156.8265686,159.751481,154.1175908,156.0413531,115798400
26-01-2022,156.7382202,161.3513403,154.9027909,160.4777921,108275300
27-01-2022,156.2769318,160.8115295,155.3543046,159.4472233,121954600
28-01-2022,167.1815643,167.2011988,159.7907526,162.6469668,179935700
31-01-2022,171.5492706,171.7652052,166.37668,167.014674,115541600
01-02-2022,171.3824463,171.6081907,169.1249573,170.7935309,86213900
02-02-2022,172.5896912,172.6289602,170.1260925,171.5198428,84914300
03-02-2022,169.7040405,172.982314,168.9384596,171.254837,89418100
04-02-2022,169.4190521,171.0995888,167.7385154,168.7212816,82465400
07-02-2022,168.7016296,170.9521574,168.0038591,169.8809459,77251200
08-02-2022,171.8170319,172.3280745,168.4756175,168.7704504,74829200
09-02-2022,173.2420044,173.605623,171.8857824,173.0159724,71285000
10-02-2022,169.1536865,172.455781,168.5935177,171.1388781,90865900
11-02-2022,165.7336578,170.0971413,165.1439922,169.3600668,98670700
14-02-2022,165.9695435,166.6574767,163.6895189,164.4855571,86185500
15-02-2022,169.812149,169.9693952,167.3159297,168.0235225,62527400
16-02-2022,169.5762939,170.3526726,167.1193787,168.8883607,61177400
17-02-2022,165.9695435,168.9473235,165.5666058,168.0824846,69589300
18-02-2022,164.4167328,167.6008846,163.3258621,166.893307,82772700
22-02-2022,161.4881439,163.8172949,159.3555281,162.1367582,91162800
23-02-2022,157.3113861,163.2865912,156.9968937,162.6871032,90009200
24-02-2022,159.9353638,160.0434686,149.3804502,149.9504564,141147500
25-02-2022,162.0090027,162.2743387,158.0975827,161.0163993,91974200
28-02-2022,162.274353,162.5691859,159.6307095,160.249857,95056600
01-03-2022,160.3874207,163.7288343,159.1786226,161.8615698,83474400
02-03-2022,163.6895142,164.47573,160.141728,161.5569136,79724800
03-03-2022,163.3652039,165.9990248,162.6969301,165.5666053,76678400
04-03-2022,160.3579407,162.6969288,159.3063888,161.6551991,83737200
07-03-2022,156.5546265,162.1760492,156.2990977,160.544654,96418800
08-03-2022,154.7266998,160.0729499,153.114964,156.0829219,131148300
09-03-2022,160.1417389,160.5938179,156.6627534,158.6970715,91454900
10-03-2022,155.7880859,157.6258537,153.2918517,157.4391258,105342000
11-03-2022,152.063385,156.5349735,151.837353,156.1909994,96970100
14-03-2022,148.0242462,151.4639281,147.5132186,148.839944,108732100
15-03-2022,152.4171753,152.8889138,147.7883558,148.2993834,92964300
16-03-2022,156.8396301,157.2425678,151.7980505,154.343411,102300200
17-03-2022,157.8518982,158.2253541,154.9134369,155.8765436,75615400
18-03-2022,161.1539917,161.6453748,157.0067173,157.7437919,123511700
21-03-2022,162.5298615,163.4831458,160.2006956,160.6920787,95811400
22-03-2022,165.9105682,166.5002189,162.0679495,162.6576001,81532000
23-03-2022,167.2765961,169.6647101,164.7607027,165.0948545,98062700
24-03-2022,171.0700836,171.1388694,167.2766063,168.1119484,90131400
25-03-2022,171.7089081,172.2592547,169.7728575,170.8833881,80546200
28-03-2022,172.5737305,172.7014799,169.0357666,169.202835,90371900
29-03-2022,175.8758392,175.9249655,173.3009817,173.6449558,100589400
30-03-2022,174.7063293,176.5146153,173.6547624,175.4728857,92633200
31-03-2022,171.6007996,174.961858,171.3944121,174.7751301,103049300
01-04-2022,171.3059387,171.8661225,168.9767881,171.0307654,78751300
04-04-2022,175.3648071,175.4139484,171.4337422,171.5615066,76468400
05-04-2022,172.0430603,175.2272284,171.4140905,174.4410124,73401800
06-04-2022,168.8686981,170.6376801,167.1979988,169.3895629,89058800
07-04-2022,169.1733551,170.3723309,166.9228273,168.2102485,77594700
08-04-2022,167.1586914,168.8195686,166.2840301,168.8195686,76575500
11-04-2022,162.8934937,166.1169655,162.6478021,165.8024881,72246700
12-04-2022,164.7705688,166.9424735,163.7681432,165.1243652,79265200
13-04-2022,167.4633789,168.0923488,163.8959473,164.5052576,70618900
14-04-2022,162.4414063,168.3183585,162.1957147,167.6795515,75329400
18-04-2022,162.2252045,163.7288354,160.7510553,161.0950145,69023900
19-04-2022,164.5150452,164.9278201,161.0852009,162.176072,67723800
20-04-2022,164.3479614,165.9695344,163.237446,165.8515923,67929800
21-04-2022,163.5519257,168.5738608,163.0507204,165.9990185,87227800
22-04-2022,159.0016937,164.9769124,158.7166982,163.5912238,84882400
25-04-2022,160.072937,160.3579326,155.7291129,158.3432592,96046400
26-04-2022,154.0977173,159.5422345,154.0190942,159.4537892,95623200
27-04-2022,153.8716888,157.0361818,152.7021948,153.2230596,88063200
28-04-2022,160.8198242,161.6846631,156.1909899,156.5054822,130216800
29-04-2022,154.933075,163.3357284,154.5399745,159.0508674,131747600
02-05-2022,155.2377319,155.503068,150.6285568,154.0092744,123055300
03-05-2022,156.7315216,157.9403346,153.6259924,155.424441,88966500
04-05-2022,163.1588593,163.6109233,156.5153497,156.9182875,108256500
05-05-2022,154.0682678,161.2522866,152.2796261,161.0262546,130525300
06-05-2022,154.7965393,156.9224364,151.7454825,153.5465885,116124600
09-05-2022,149.6589813,153.3694575,149.0979894,152.4836594,131577900
10-05-2022,152.070282,154.2650811,150.5152284,153.0643437,115366700
11-05-2022,144.1867676,152.9954442,143.5076603,151.0762377,142689800
12-05-2022,140.3089752,143.891499,136.608351,140.5156659,182602000
13-05-2022,144.7871399,145.7615132,140.8502997,142.3069264,113990900
16-05-2022,143.2419434,145.1906903,141.9034169,143.2517951,86643800
17-05-2022,146.8834991,147.4051292,144.363909,146.5094946,78336300
18-05-2022,138.5964661,145.0331932,137.6909796,144.5312514,109742900
19-05-2022,135.1812286,139.4231707,134.4430713,137.6712784,136095600
20-05-2022,135.41745,138.4783436,130.5160884,136.8937649,137426100
23-05-2022,140.8503113,140.9979368,135.4765174,135.6143062,117726300
24-05-2022,138.1437073,139.7282859,135.1615524,138.5865987,104132700
25-05-2022,138.301178,139.5511137,136.1555926,136.2441679,92482700
26-05-2022,141.5097046,142.0608598,134.9745512,135.2206036,90601500
27-05-2022,147.2771912,147.316553,142.9663463,143.0942985,90978500
31-05-2022,146.4898376,148.2811074,144.5214173,146.7162168,103718400
01-06-2022,146.3618622,149.344017,145.3481122,147.5330594,74286600
02-06-2022,148.8223877,148.8814379,144.5410686,145.4957534,72348100
03-06-2022,143.0844421,145.6335422,142.1789708,144.5804304,88570300
06-06-2022,143.8324432,146.2240813,142.6120175,144.7083895,71598400
07-06-2022,146.3618622,146.6472764,141.8246539,142.0707064,67808200
08-06-2022,145.6237335,147.5035634,145.1316285,146.233939,53950200
09-06-2022,140.3877106,145.6138631,140.2794469,144.7576053,69473000
10-06-2022,134.9647369,138.5374094,134.895835,138.0649928,91437900
13-06-2022,129.7976074,133.0651765,129.3645527,130.7719656,122207100
14-06-2022,130.6636963,131.7758582,129.4039089,131.0278642,84784300
15-06-2022,133.2915802,135.1714253,130.0732237,132.1695812,91533000
16-06-2022,128.0063629,130.2995742,127.0024644,129.9944715,108123900
17-06-2022,129.4826965,130.9787003,127.7603286,128.0162329,134520300
21-06-2022,133.7245941,134.8958063,131.2148709,131.3132829,81000500
22-06-2022,133.2128448,135.5847798,131.7955799,132.6616746,73409200
23-06-2022,136.086731,136.4016704,133.488417,134.6596294,72433800
24-06-2022,139.4231873,139.6692397,137.563031,137.6909681,89116800
27-06-2022,139.4231873,141.2242933,138.74408,140.446759,70207900
28-06-2022,135.2698212,141.1553926,135.1517208,139.8857683,67083400
29-06-2022,137.0315552,138.44882,134.51198,135.2895143,66242400
30-06-2022,134.5611877,136.1851282,131.6577713,135.0828178,98964500
01-07-2022,136.7362976,136.8445613,133.5179415,133.8919311,71051600
05-07-2022,139.3247528,139.3739663,134.7678561,135.5946038,73353800
06-07-2022,140.6632996,141.8443486,138.8523567,139.1180976,74064300
07-07-2022,144.0391693,144.2360083,141.0176368,141.0274735,66253700
08-07-2022,144.7182617,145.2202185,142.7104795,142.9663688,64547800
11-07-2022,142.5825043,144.3245603,141.5097189,143.3698753,63141600
12-07-2022,143.5568695,146.1059698,142.7596618,143.4584425,77588800
13-07-2022,143.1927032,144.1375363,139.8759057,140.7321785,71185600
14-07-2022,146.1256561,146.5980727,140.9880789,141.8049749,78140700
15-07-2022,147.7988281,148.4779355,145.859933,147.4149868,76259900
18-07-2022,144.747757,149.1767015,144.3835891,148.3598055,81420900
19-07-2022,148.6157074,148.8420715,144.5902922,145.5843388,82982400
20-07-2022,150.6235199,151.2927906,147.9956805,148.7338381,64823400
21-07-2022,152.897049,153.1135764,149.5408888,152.0604643,65086600
22-07-2022,151.6569214,153.8123438,150.9876658,152.9363974,66675400
25-07-2022,150.5349426,152.5919383,149.8755236,151.578203,53623900
26-07-2022,149.2062225,150.6726856,148.4188516,149.8557896,55138700
27-07-2022,154.3142853,154.8457671,149.757403,150.1707694,78620700
28-07-2022,154.8654327,155.150847,151.9718532,154.5012649,81378700
29-07-2022,159.943985,161.0463106,156.9815179,158.6940489,101786900
01-08-2022,158.9597778,161.0069368,158.3495723,158.4676728,67829400
02-08-2022,157.4834442,159.8455573,157.1094546,157.5720345,59907000
03-08-2022,163.5068054,163.9595336,158.211751,158.3003263,82507500
04-08-2022,163.191864,164.5500787,161.8336494,163.388703,55474100
05-08-2022,162.9651947,163.4579833,160.6490823,160.8560601,56697000
08-08-2022,162.4921112,165.3897106,161.8317763,163.970477,60276900
09-08-2022,162.5413666,163.428395,160.8954547,161.6543532,63135500
10-08-2022,166.7990723,166.897621,164.4928104,165.2615594,70170500
11-08-2022,166.0598755,168.523818,165.7641994,167.6072236,57149200
12-08-2022,169.6178436,169.6868262,166.9567731,167.3707288,68039400
15-08-2022,170.6921082,170.8892206,168.8786498,169.0461961,54091700
16-08-2022,170.5344086,171.2046088,169.1841727,170.2880143,56377100
17-08-2022,172.0325165,173.6094311,170.0810777,170.2781901,79542000
18-08-2022,171.6382446,172.3774274,170.6231014,171.2440198,62290100
19-08-2022,169.0462036,171.2341862,168.8392258,170.5344198,70346300
22-08-2022,165.153183,167.4101482,164.729377,167.2426019,69026800
23-08-2022,164.8180695,166.2767345,164.2464329,164.6702389,54147100
24-08-2022,165.1137238,165.6853603,163.8521863,164.906761,53841500
25-08-2022,167.5776825,167.6860966,165.9219201,166.3457111,51218200
26-08-2022,161.2601166,168.5829621,161.2009844,168.1098893,78961000
29-08-2022,159.0524292,160.5504955,157.5149314,158.8257356,73314000
30-08-2022,156.6180878,160.2154388,155.4452484,159.7916478,77906200
31-08-2022,154.9524384,158.2639781,154.8735904,157.9978681,87991100
01-09-2022,155.6817932,156.1351503,152.4392356,154.380824,74229900
02-09-2022,153.5627899,158.0471694,152.7349086,157.4459667,76957800
06-09-2022,152.3012238,154.8242987,151.4733426,154.2132457,73714800
07-09-2022,153.7106323,154.4103837,151.3945198,152.5870749,87449600
08-09-2022,152.232254,154.1048446,150.4779129,152.4096507,84923800
09-09-2022,155.1002502,155.5437719,152.5180433,153.2276599,68028800
12-09-2022,161.0728607,161.8908915,157.0024375,157.2882482,104956000
13-09-2022,151.6211853,158.2245492,151.1579628,157.5937804,122656600
14-09-2022,153.0699768,154.8341682,151.3944987,152.5574725,87965400
15-09-2022,150.1723785,153.0009951,149.1966668,152.4194931,90481100
16-09-2022,148.5264587,149.1670928,146.2300624,149.0291127,162278800
19-09-2022,152.2519531,152.3308011,146.9495583,147.1565211,81474200
20-09-2022,154.6370087,155.7999972,150.8721128,151.1874895,107689800
21-09-2022,151.5028992,156.4505,151.3846347,155.0706831,101696800
22-09-2022,150.5370483,152.2420925,148.7334405,150.18224,86652500
23-09-2022,148.2603455,149.285354,146.4173212,149.0093936,96029900
26-09-2022,148.5954742,151.5522058,147.4817672,147.501483,93339400
27-09-2022,149.5711823,152.4884972,147.78729,150.5370587,84442700
28-09-2022,147.678894,148.4673589,142.7510077,145.5106271,146691400
29-09-2022,140.4250031,144.6038548,138.6509615,143.9928019,128138200
30-09-2022,136.2067719,141.0361094,136.0096594,139.2423516,124925300
03-10-2022,140.3954773,141.0065454,135.704135,136.2166393,114311700
04-10-2022,143.9928284,144.1110928,142.179355,142.9382536,87830100
05-10-2022,144.2885132,145.2543898,140.9474067,141.9921313,79471000
06-10-2022,143.332489,145.4120576,143.1255262,143.7070132,68402200
07-10-2022,138.0695038,141.0361007,137.438735,140.4841649,85925600
10-10-2022,138.3947601,139.8435599,136.5714512,138.3947601,74899000
11-10-2022,136.9755096,139.3113377,136.2264764,137.8822388,77033700
12-10-2022,136.3447571,138.3356274,136.1673604,137.1233716,70433700
13-10-2022,140.9276886,141.5190259,132.4320029,133.043071,113224000
14-10-2022,136.3841553,142.4355977,136.1968932,142.2286199,88598000
17-10-2022,140.3560486,140.8389718,138.246914,139.0353788,85250900
18-10-2022,141.676712,144.5841616,138.5820005,143.3916217,99136600
19-10-2022,141.7851105,142.8593858,139.4591481,139.6464101,61758300
20-10-2022,141.3219147,143.7858577,140.5925821,140.9572559,64522000
21-10-2022,145.1459503,145.7175869,140.5925737,140.8094019,86548600
24-10-2022,147.2944946,148.0632436,143.8942566,145.0670958,75981900
25-10-2022,150.1428223,150.2906679,147.2058065,147.9252736,74732300
26-10-2022,147.1959534,149.7978764,145.9048347,148.7827332,88194300
27-10-2022,142.7115631,146.9002657,142.0512283,145.9344043,109180200
28-10-2022,153.4937897,155.2284,145.6880205,146.0625296,164762400
31-10-2022,151.1284027,152.0154312,149.7288849,150.951006,97943200
01-11-2022,148.4771881,153.2079613,146.9791217,152.8433026,80379300
02-11-2022,142.9382629,149.9752837,142.9086968,146.8017238,93604600
03-11-2022,136.8769684,140.7404293,136.7488385,140.0110967,97918500
04-11-2022,136.6104279,140.8455615,132.6615791,140.2729767,140814800
07-11-2022,137.1434784,137.3705329,133.9350396,135.3566272,83374600
08-11-2022,137.7160645,139.6213763,135.7317739,138.6144309,89908500
09-11-2022,133.1453094,136.7782583,132.8688912,136.7288947,74917800
10-11-2022,144.9918213,144.9918213,137.7160737,139.433828,118854000
11-11-2022,147.7856445,148.0916779,142.5238024,143.9552719,93979700
14-11-2022,146.3837891,148.358213,145.5446529,147.0649677,73374100
15-11-2022,148.1212921,151.625898,146.6602225,150.2734223,89868300
16-11-2022,146.8872833,147.9534742,145.4064652,147.2229469,64218300
17-11-2022,148.7926178,149.5428936,144.281051,144.5574692,80389400
18-11-2022,149.3553009,150.7472735,148.0521889,150.3622614,74829600
21-11-2022,146.1172638,148.4470851,145.8309789,148.2397789,58724100
22-11-2022,148.2595215,148.4964578,145.0510818,146.2357485,51804100
23-11-2022,149.1381378,149.8884136,147.4302501,147.538844,58301400
25-11-2022,146.2159729,146.9761304,145.2386276,146.4134123,35195900
28-11-2022,142.3757172,144.7647684,141.5464627,143.2839504,69246000
29-11-2022,139.3647156,142.9581666,138.5552096,142.4448122,83763800
30-11-2022,146.1369781,146.8181568,138.7526373,139.5917584,111380900
01-12-2022,146.4134216,147.2229428,144.7351641,146.3147095,71250400
02-12-2022,145.9198151,146.1073878,143.7874334,144.0934818,65447400
05-12-2022,144.7548981,148.9900309,143.9058952,145.8803191,68826400
06-12-2022,141.0825043,145.4163654,140.1051587,145.1893108,64727200
07-12-2022,139.1376801,141.5365983,138.2096982,140.3716952,69721100
08-12-2022,140.8258057,141.6846905,139.2956389,140.5395208,62128300
09-12-2022,140.3421021,143.7084996,139.0982049,140.519793,76097000
12-12-2022,142.6422729,142.6521396,139.2561278,140.875155,70462700
13-12-2022,143.6097412,148.0521955,142.3954746,147.5882047,93886200
14-12-2022,141.3786469,144.7845255,139.3548591,143.4912801,82291200
15-12-2022,134.7544556,139.9866829,134.2904647,139.3055041,98931900
16-12-2022,132.7898712,135.8897161,132.0198471,134.9420011,160156900
19-12-2022,130.6772461,133.4710578,129.6406856,133.3822124,79592600
20-12-2022,130.6081696,131.5460181,128.2289847,129.7098029,77432800
21-12-2022,133.7178802,135.0604894,131.0524105,131.2794651,85928000
22-12-2022,130.5390625,132.8392687,128.6337502,132.6319626,77852100
23-12-2022,130.1737976,130.726634,127.9821854,129.2458158,63814900
27-12-2022,128.3671875,129.729545,127.0739421,129.6999299,69007800
28-12-2022,124.4282227,129.3544093,124.2603984,128.0118001,85438400
29-12-2022,127.9525757,128.8114455,126.0966194,126.3532892,75703700
30-12-2022,128.2684479,128.2881963,125.8004254,126.7678965,77034200
